"";"metric";"method";"mean_dist";"sd_dist";"min_dist";"max_dist";"setting";"min_node_size";"covered_effect_vars";"covered_noise_vars";"effect_var_fdr";"time";"mse_val_dat_rf";"mse_val_dat_tree";"mse_rf_pred";"probs_quantiles";"number_splits";"imp.num.var";"epsilon";"method_short";"scenario";"rel_MSE"
"69";"weighted splitting variables";"artificial tree";NA;NA;NA;NA;"Setting 1";100;1;0;0;3,69858333333333;3,4800726638592;3,88906336314668;1,44066901772906;"No quantiles";7;"5";0,05;"ART";"Scenario 1";1,11752360907141
"70";"weighted splitting variables";"artificial tree";NA;NA;NA;NA;"Setting 1";100;1;0;0;1,86421666666667;3,51296650007022;3,97945944297023;1,0923794198347;"No quantiles";5;"5";0,05;"ART";"Scenario 1";1,13279174250329
"71";"weighted splitting variables";"artificial tree";NA;NA;NA;NA;"Setting 1";100;1;0;0;2,73518333333333;3,27599317169879;4,08103734613476;1,51703232108682;"No quantiles";5;"5";0,05;"ART";"Scenario 1";1,24574049219355
"72";"weighted splitting variables";"artificial tree";NA;NA;NA;NA;"Setting 1";100;1;0;0;2,72143333333333;3,23685404128304;3,96738390923753;1,42322391163762;"No quantiles";5;"5";0,05;"ART";"Scenario 1";1,22569132207918
"73";"weighted splitting variables";"artificial tree";NA;NA;NA;NA;"Setting 1";100;1;0;0;2,70225;3,6157102481947;4,05922972179575;1,23188658580107;"No quantiles";5;"5";0,05;"ART";"Scenario 1";1,12266455085069
"74";"weighted splitting variables";"artificial tree";NA;NA;NA;NA;"Setting 1";100;1;0;0;4,31036666666667;3,37054014102872;3,72674341979762;1,4631766239806;"No quantiles";8;"5";0,05;"ART";"Scenario 1";1,10568136377696
"75";"weighted splitting variables";"artificial tree";NA;NA;NA;NA;"Setting 1";100;1;0;0;2,30238333333333;3,19737109241665;3,42008487124771;1,36378461501144;"No quantiles";6;"5";0,05;"ART";"Scenario 1";1,06965528003905
"76";"weighted splitting variables";"artificial tree";NA;NA;NA;NA;"Setting 1";100;1;0;0;1,9895;3,5840387306741;4,06533784882997;1,07787586837282;"No quantiles";5;"5";0,05;"ART";"Scenario 1";1,13428959738539
"77";"weighted splitting variables";"artificial tree";NA;NA;NA;NA;"Setting 1";100;1;0;0;2,77323333333333;3,7145954190811;4,24991538701254;1,25189300670657;"No quantiles";5;"5";0,05;"ART";"Scenario 1";1,14411259034608
"78";"weighted splitting variables";"artificial tree";NA;NA;NA;NA;"Setting 1";100;0,8;0;0;2,25075;3,48387937100831;4,24801115716348;1,29888078295604;"No quantiles";4;"5";0,05;"ART";"Scenario 1";1,21933359476049
"79";"weighted splitting variables";"artificial tree";NA;NA;NA;NA;"Setting 1";100;1;0;0;4,19725;3,5995074625611;3,53992882035499;1,58458462174015;"No quantiles";8;"5";0,05;"ART";"Scenario 1";0,983448112602683
"80";"weighted splitting variables";"artificial tree";NA;NA;NA;NA;"Setting 1";100;1;0;0;4,25711666666667;3,48201580096306;3,53515564648544;1,63704129595563;"No quantiles";7;"5";0,05;"ART";"Scenario 1";1,0152612304366
"81";"weighted splitting variables";"artificial tree";NA;NA;NA;NA;"Setting 1";100;1;0;0;2,6777;3,45640532764301;3,98744012987905;1,12796735561315;"No quantiles";5;"5";0,05;"ART";"Scenario 1";1,1536378844197
"82";"weighted splitting variables";"artificial tree";NA;NA;NA;NA;"Setting 1";100;1;0;0;3,22675;3,5507510042885;3,98983262948765;1,21906752463349;"No quantiles";6;"5";0,05;"ART";"Scenario 1";1,12365880476238
"83";"weighted splitting variables";"artificial tree";NA;NA;NA;NA;"Setting 1";100;0,8;0;0;1,5636;3,53392392006405;4,42060467469673;1,31315368854868;"No quantiles";4;"5";0,05;"ART";"Scenario 1";1,25090544524699
"84";"weighted splitting variables";"artificial tree";NA;NA;NA;NA;"Setting 1";100;1;0;0;2,74481666666667;3,63597674675755;3,93153139375547;1,23870023367876;"No quantiles";5;"5";0,05;"ART";"Scenario 1";1,08128617633803
"85";"weighted splitting variables";"artificial tree";NA;NA;NA;NA;"Setting 1";100;1;0;0;2,81756666666667;3,38922204629624;3,69541213069118;1,45244077242535;"No quantiles";7;"5";0,05;"ART";"Scenario 1";1,09034229100733
"86";"weighted splitting variables";"artificial tree";NA;NA;NA;NA;"Setting 1";100;1;0;0;2,83503333333333;3,64599378140788;3,64907913293805;1,62738536878661;"No quantiles";7;"5";0,05;"ART";"Scenario 1";1,00084623060684
"87";"weighted splitting variables";"artificial tree";NA;NA;NA;NA;"Setting 1";100;1;0;0;2,74611666666667;3,60469567585033;4,1981937987493;1,08324551573223;"No quantiles";5;"5";0,05;"ART";"Scenario 1";1,16464583317674
"88";"weighted splitting variables";"artificial tree";NA;NA;NA;NA;"Setting 1";100;1;0;0;2,73701666666667;3,40580669636966;3,79904650589006;1,16830245347926;"No quantiles";5;"5";0,05;"ART";"Scenario 1";1,11546157623672
"89";"weighted splitting variables";"artificial tree";NA;NA;NA;NA;"Setting 1";100;0,8;0;0;1,58596666666667;3,58772441010172;4,17183939849399;1,15303893835708;"No quantiles";4;"5";0,05;"ART";"Scenario 1";1,16280932469273
"90";"weighted splitting variables";"artificial tree";NA;NA;NA;NA;"Setting 1";100;1;0;0;2,75756666666667;3,7179197063983;4,23815331810119;1,51680551433324;"No quantiles";5;"5";0,05;"ART";"Scenario 1";1,13992599431548
"91";"weighted splitting variables";"artificial tree";NA;NA;NA;NA;"Setting 1";100;1;0;0;1,79106666666667;3,3560715763639;4,00849199785478;1,50183235856586;"No quantiles";5;"5";0,05;"ART";"Scenario 1";1,19440003189614
